stop_number,city,country,state_province,lat,lng,timezone,utc_offset,utc_offset_rounded,utc_time,local_time,population,temperature_c,weather_condition,wind_speed_mps,wind_direction_deg,wind_gust_mps
10139,Nānan,India,,25.0905,85.5031,Asia/Kolkata,5,5,2025-12-24 19:26:10,2025-12-25 00:26:10,8875,10.9,Mainly clear,0.42,277,1.11
10140,Tilāri,India,,25.004,85.252,Asia/Kolkata,5,5,2025-12-24 19:26:10,2025-12-25 00:26:10,12649,10.9,Mainly clear,0.42,277,1.11
10141,Wāris Alīganj,India,,25.01,85.63,Asia/Kolkata,5,5,2025-12-24 19:26:10,2025-12-25 00:26:10,34056,10.9,Mainly clear,0.42,277,1.11
10142,Sirdala,India,,24.6559,85.4092,Asia/Kolkata,5,5,2025-12-24 19:26:10,2025-12-25 00:26:10,9741,11.4,Partly cloudy,0.56,333,1.31
10143,Nagar Nahusa,India,,25.3959,85.3431,Asia/Kolkata,5,5,2025-12-24 19:26:11,2025-12-25 00:26:11,10983,11.2,Overcast,1.50,290,2.19
10144,Garhi,India,,24.7904,86.0768,Asia/Kolkata,5,5,2025-12-24 19:26:12,2025-12-25 00:26:12,10197,11.1,Overcast,0.81,227,1.11
10145,Qādirganj,India,,24.9138,85.5926,Asia/Kolkata,5,5,2025-12-24 19:26:12,2025-12-25 00:26:12,21692,10.9,Mainly clear,0.42,277,1.11
10146,Pharāha,India,,24.8522,85.5471,Asia/Kolkata,5,5,2025-12-24 19:26:12,2025-12-25 00:26:12,11052,10.9,Mainly clear,0.42,277,1.11
10147,Katrīdih,India,,25.0829,85.6334,Asia/Kolkata,5,5,2025-12-24 19:26:12,2025-12-25 00:26:12,8688,10.9,Mainly clear,0.42,277,1.11
10148,Belāo,India,,25.1476,85.7377,Asia/Kolkata,5,5,2025-12-24 19:26:12,2025-12-25 00:26:12,10464,10.9,Mainly clear,0.42,277,1.11
10149,Tarawān,India,,24.7295,85.2529,Asia/Kolkata,5,5,2025-12-24 19:26:13,2025-12-25 00:26:13,9328,11.4,Partly cloudy,0.56,333,1.31
10150,Islāmpur,India,,25.1407,85.2059,Asia/Kolkata,5,5,2025-12-24 19:26:13,2025-12-25 00:26:13,39425,10.9,Overcast,0.44,360,1.39
10151,Jainagar,India,,24.3756,85.6443,Asia/Kolkata,5,5,2025-12-24 19:26:14,2025-12-25 00:26:14,8602,11.4,Partly cloudy,0.56,333,1.31
10152,Kochgāwān,India,,25.0431,85.6279,Asia/Kolkata,5,5,2025-12-24 19:26:14,2025-12-25 00:26:14,9567,10.9,Mainly clear,0.42,277,1.11
10153,Kajur,India,,24.8768,85.292,Asia/Kolkata,5,5,2025-12-24 19:26:14,2025-12-25 00:26:14,16104,10.9,Mainly clear,0.42,277,1.11
10154,Sarauni,India,,24.8613,85.8712,Asia/Kolkata,5,5,2025-12-24 19:26:15,2025-12-25 00:26:15,9061,11.1,Overcast,0.81,227,1.11
10155,Bihār,India,,25.197,85.518,Asia/Kolkata,5,5,2025-12-24 19:26:15,2025-12-25 00:26:15,297268,10.9,Mainly clear,0.42,277,1.11
10156,Patsanda,India,,24.858,86.3008,Asia/Kolkata,5,5,2025-12-24 19:26:16,2025-12-25 00:26:16,9837,11.2,Partly cloudy,1.50,268,2.69
10157,Teus,India,,25.2493,85.7141,Asia/Kolkata,5,5,2025-12-24 19:26:16,2025-12-25 00:26:16,10651,10.9,Mainly clear,0.42,277,1.11
10158,Mahmūda,India,,25.0531,85.2662,Asia/Kolkata,5,5,2025-12-24 19:26:17,2025-12-25 00:26:17,10948,10.9,Mainly clear,0.42,277,1.11
10159,Maghra,India,,25.1903,85.4921,Asia/Kolkata,5,5,2025-12-24 19:26:17,2025-12-25 00:26:17,10635,10.9,Mainly clear,0.42,277,1.11
10160,Dhanwār,India,,24.4107,85.9818,Asia/Kolkata,5,5,2025-12-24 19:26:18,2025-12-25 00:26:18,10462,10.6,Mainly clear,0.53,311,1.11
10161,Keshwāri,India,,24.1878,85.8411,Asia/Kolkata,5,5,2025-12-24 19:26:18,2025-12-25 00:26:18,9801,10.4,Overcast,1.72,338,2.69
10162,Barki Saria,India,,24.1759,85.8894,Asia/Kolkata,5,5,2025-12-24 19:26:18,2025-12-25 00:26:18,20375,10.4,Overcast,1.72,338,2.69
10163,Mandrāmo,India,,24.1822,85.8734,Asia/Kolkata,5,5,2025-12-24 19:26:18,2025-12-25 00:26:18,12554,10.4,Overcast,1.72,338,2.69
10164,Markacho,India,,24.3263,85.8346,Asia/Kolkata,5,5,2025-12-24 19:26:18,2025-12-25 00:26:18,14467,10.6,Mainly clear,0.53,311,1.11
10165,Dorandā,India,,24.471,85.9449,Asia/Kolkata,5,5,2025-12-24 19:26:18,2025-12-25 00:26:18,12195,10.6,Mainly clear,0.53,311,1.11
10166,Paratdiha,India,,24.1638,86.307,Asia/Kolkata,5,5,2025-12-24 19:26:18,2025-12-25 00:26:18,8771,11.1,Overcast,1.83,311,3.19
10167,Koiridih,India,,24.18,86.3,Asia/Kolkata,5,5,2025-12-24 19:26:18,2025-12-25 00:26:18,143529,11.1,Overcast,1.83,311,3.19
10168,Muturkha,India,,24.1044,86.2855,Asia/Kolkata,5,5,2025-12-24 19:26:18,2025-12-25 00:26:18,8770,11.1,Overcast,1.83,311,3.19
10169,Gumia,India,,23.8106,85.8232,Asia/Kolkata,5,5,2025-12-24 19:26:19,2025-12-25 00:26:19,48141,10.4,Overcast,1.72,338,2.69
10170,Beko,India,,24.0415,85.9536,Asia/Kolkata,5,5,2025-12-24 19:26:19,2025-12-25 00:26:19,15700,10.4,Overcast,1.72,338,2.69
10171,Kharki,India,,23.9165,85.8596,Asia/Kolkata,5,5,2025-12-24 19:26:19,2025-12-25 00:26:19,14423,10.4,Overcast,1.72,338,2.69
10172,Banāso,India,,23.9884,85.7866,Asia/Kolkata,5,5,2025-12-24 19:26:19,2025-12-25 00:26:19,9585,10.4,Overcast,1.72,338,2.69
10173,Bagodar,India,,24.0803,85.8306,Asia/Kolkata,5,5,2025-12-24 19:26:19,2025-12-25 00:26:19,9934,10.4,Overcast,1.72,338,2.69
10174,Kulgo,India,,24.0154,85.9743,Asia/Kolkata,5,5,2025-12-24 19:26:19,2025-12-25 00:26:19,10839,10.4,Overcast,1.72,338,2.69
10175,Achaljāmu,India,,24.0243,85.8306,Asia/Kolkata,5,5,2025-12-24 19:26:19,2025-12-25 00:26:19,16826,10.4,Overcast,1.72,338,2.69
10176,Chandankiāri,India,,23.5781,86.3598,Asia/Kolkata,5,5,2025-12-24 19:26:20,2025-12-25 00:26:20,9836,11.8,Mainly clear,1.69,328,2.39
10177,Karma,India,,23.684,85.5706,Asia/Kolkata,5,5,2025-12-24 19:26:21,2025-12-25 00:26:21,13681,11.1,Partly cloudy,2.08,294,4.81
10178,Chalkāri,India,,23.758,85.954,Asia/Kolkata,5,5,2025-12-24 19:26:21,2025-12-25 00:26:21,9189,10.4,Overcast,1.72,338,2.69
10179,Kenduadīh,India,,23.7757,86.3761,Asia/Kolkata,5,5,2025-12-24 19:26:21,2025-12-25 00:26:21,11033,11.1,Overcast,1.83,311,3.19
10180,Hosir,India,,23.7735,85.8132,Asia/Kolkata,5,5,2025-12-24 19:26:21,2025-12-25 00:26:21,12596,10.4,Overcast,1.72,338,2.69
10181,Kedia,India,,23.7945,85.5872,Asia/Kolkata,5,5,2025-12-24 19:26:22,2025-12-25 00:26:22,23213,10.8,Mainly clear,2.08,310,3.61
10182,Māndu,India,,23.7946,85.4687,Asia/Kolkata,5,5,2025-12-24 19:26:22,2025-12-25 00:26:22,12128,10.8,Mainly clear,2.08,310,3.61
10183,Gomoh,India,,23.8735,86.1516,Asia/Kolkata,5,5,2025-12-24 19:26:22,2025-12-25 00:26:22,37734,10.4,Overcast,1.72,338,2.69
10184,Angwāli,India,,23.7317,85.9858,Asia/Kolkata,5,5,2025-12-24 19:26:22,2025-12-25 00:26:22,10178,11.4,Partly cloudy,1.92,300,3.19
10185,Sijua,India,,23.7762,86.3303,Asia/Kolkata,5,5,2025-12-24 19:26:23,2025-12-25 00:26:23,39372,11.1,Overcast,1.83,311,3.19
10186,Chitarpur,India,,23.5794,85.6548,Asia/Kolkata,5,5,2025-12-24 19:26:23,2025-12-25 00:26:23,22837,11.1,Partly cloudy,2.08,294,4.81
10187,Pāra,India,,23.52,86.52,Asia/Kolkata,5,5,2025-12-24 19:26:24,2025-12-25 00:26:24,9697,11.8,Mainly clear,1.69,328,2.39
10188,Meru,India,,24.0097,85.4673,Asia/Kolkata,5,5,2025-12-24 19:26:24,2025-12-25 00:26:24,11282,10.8,Mainly clear,2.08,310,3.61
10189,Phusro,India,,23.77,85.99,Asia/Kolkata,5,5,2025-12-24 19:26:25,2025-12-25 00:26:25,89178,10.4,Overcast,1.72,338,2.69
10190,Khetko,India,,23.7554,85.9122,Asia/Kolkata,5,5,2025-12-24 19:26:25,2025-12-25 00:26:25,8850,10.4,Overcast,1.72,338,2.69
10191,Raghunāthpur,India,,23.55,86.67,Asia/Kolkata,5,5,2025-12-24 19:26:25,2025-12-25 00:26:25,25561,11.8,Mainly clear,1.69,328,2.39
10192,Dugda,India,,23.7452,86.1717,Asia/Kolkata,5,5,2025-12-24 19:26:26,2025-12-25 00:26:26,24904,11.4,Partly cloudy,1.92,300,3.19
10193,Bermo,India,,23.7878,85.9353,Asia/Kolkata,5,5,2025-12-24 19:26:26,2025-12-25 00:26:26,22396,10.4,Overcast,1.72,338,2.69
10194,Loiyo,India,,23.7928,85.632,Asia/Kolkata,5,5,2025-12-24 19:26:26,2025-12-25 00:26:26,12198,10.8,Mainly clear,2.08,310,3.61
10195,Sewāi,India,,23.6175,85.6783,Asia/Kolkata,5,5,2025-12-24 19:26:26,2025-12-25 00:26:26,11601,11.1,Partly cloudy,2.08,294,4.81
10196,Kuju,India,,23.7254,85.5102,Asia/Kolkata,5,5,2025-12-24 19:26:27,2025-12-25 00:26:27,23812,11.1,Partly cloudy,2.08,294,4.81
10197,Bokaro Steel City,India,,23.67,86.15,Asia/Kolkata,5,5,2025-12-24 19:26:27,2025-12-25 00:26:27,563417,11.4,Partly cloudy,1.92,300,3.19
10198,Sāram,India,,23.7625,85.83,Asia/Kolkata,5,5,2025-12-24 19:26:27,2025-12-25 00:26:27,17298,10.4,Overcast,1.72,338,2.69
10199,Chās,India,,23.63,86.17,Asia/Kolkata,5,5,2025-12-24 19:26:27,2025-12-25 00:26:27,141640,11.4,Partly cloudy,1.92,300,3.19
10200,Dhanbād,India,,23.7998,86.4305,Asia/Kolkata,5,5,2025-12-24 19:26:28,2025-12-25 00:26:28,1162472,11.1,Overcast,1.83,311,3.19
10201,Ādra,India,,23.5,86.67,Asia/Kolkata,5,5,2025-12-24 19:26:28,2025-12-25 00:26:28,21600,11.8,Mainly clear,1.69,328,2.39
10202,Bārughutu,India,,23.8038,85.5555,Asia/Kolkata,5,5,2025-12-24 19:26:29,2025-12-25 00:26:29,27841,10.8,Mainly clear,2.08,310,3.61
10203,Bokāro,India,,23.7871,85.9564,Asia/Kolkata,5,5,2025-12-24 19:26:29,2025-12-25 00:26:29,48086,10.4,Overcast,1.72,338,2.69
10204,Jāmtāra,India,,23.9633,86.8014,Asia/Kolkata,5,5,2025-12-24 19:26:30,2025-12-25 00:26:30,90426,12.4,Overcast,2.31,344,3.81
10205,Domahani,India,,23.7569,87.0256,Asia/Kolkata,5,5,2025-12-24 19:26:30,2025-12-25 00:26:30,12480,12.4,Overcast,2.31,344,3.81
10206,Chittaranjan,India,,23.87,86.87,Asia/Kolkata,5,5,2025-12-24 19:26:30,2025-12-25 00:26:30,39098,12.4,Overcast,2.31,344,3.81
10207,Āsansol,India,,23.68,86.99,Asia/Kolkata,5,5,2025-12-24 19:26:30,2025-12-25 00:26:30,563917,12.9,Mainly clear,2.42,5,3.89
10208,Hirpardangal,India,,24.0474,86.8648,Asia/Kolkata,5,5,2025-12-24 19:26:30,2025-12-25 00:26:30,22599,12.4,Overcast,2.31,344,3.81
10209,Madhupur,India,,24.26,86.65,Asia/Kolkata,5,5,2025-12-24 19:26:31,2025-12-25 00:26:31,55238,10.8,Clear sky,1.64,310,2.50
10210,Deoghar,India,,24.48,86.7,Asia/Kolkata,5,5,2025-12-24 19:26:31,2025-12-25 00:26:31,203116,10.8,Clear sky,1.64,310,2.50
10211,Jasidih,India,,24.5138,86.6458,Asia/Kolkata,5,5,2025-12-24 19:26:31,2025-12-25 00:26:31,18660,10.8,Clear sky,1.64,310,2.50
10212,Kātūria,India,,24.7476,86.7205,Asia/Kolkata,5,5,2025-12-24 19:26:31,2025-12-25 00:26:31,9336,10.8,Clear sky,1.64,310,2.50
10213,Nunihāt,India,,24.4843,87.1323,Asia/Kolkata,5,5,2025-12-24 19:26:31,2025-12-25 00:26:31,8573,10.9,Partly cloudy,1.56,301,2.31
10214,Dumka,India,,24.42,87.34,Asia/Kolkata,5,5,2025-12-24 19:26:32,2025-12-25 00:26:32,47584,10.9,Overcast,1.58,298,3.31
10215,Mayūreswar,India,,23.9908,87.7647,Asia/Kolkata,5,5,2025-12-24 19:26:32,2025-12-25 00:26:32,11142,12.6,Mainly clear,2.00,348,4.00
10216,Sainthia,India,,23.9451,87.6803,Asia/Kolkata,5,5,2025-12-24 19:26:32,2025-12-25 00:26:32,44601,12.7,Mainly clear,2.14,335,3.69
10217,Rājnagar,India,,23.95,87.32,Asia/Kolkata,5,5,2025-12-24 19:26:32,2025-12-25 00:26:32,13965,12.7,Mainly clear,2.14,335,3.69
10218,Rāneswar,India,,24.0311,87.4197,Asia/Kolkata,5,5,2025-12-24 19:26:32,2025-12-25 00:26:32,101667,12.7,Mainly clear,2.14,335,3.69
10219,Ahmadpur,India,,23.8365,87.6912,Asia/Kolkata,5,5,2025-12-24 19:26:33,2025-12-25 00:26:33,9242,12.7,Mainly clear,2.14,335,3.69
10220,Dubrājpur,India,,23.8,87.38,Asia/Kolkata,5,5,2025-12-24 19:26:33,2025-12-25 00:26:33,38041,12.7,Mainly clear,2.14,335,3.69
10221,Siuri,India,,23.91,87.527,Asia/Kolkata,5,5,2025-12-24 19:26:33,2025-12-25 00:26:33,67864,12.7,Mainly clear,2.14,335,3.69
10222,Bolpur,India,,23.67,87.72,Asia/Kolkata,5,5,2025-12-24 19:26:33,2025-12-25 00:26:33,80210,12.4,Clear sky,2.03,349,3.69
10223,Bānkura,India,,23.25,87.07,Asia/Kolkata,5,5,2025-12-24 19:26:34,2025-12-25 00:26:34,137386,12.9,Mainly clear,2.42,5,3.89
10224,Gangājalghāti,India,,23.42,87.12,Asia/Kolkata,5,5,2025-12-24 19:26:34,2025-12-25 00:26:34,8708,12.9,Mainly clear,2.42,5,3.89
10225,Durgāpur,India,,23.55,87.32,Asia/Kolkata,5,5,2025-12-24 19:26:34,2025-12-25 00:26:34,726000,12.4,Clear sky,2.03,349,3.69
10226,Andāl,India,,23.6,87.2,Asia/Kolkata,5,5,2025-12-24 19:26:34,2025-12-25 00:26:34,19924,12.9,Mainly clear,2.42,5,3.89
10227,Barjora,India,,23.43,87.28,Asia/Kolkata,5,5,2025-12-24 19:26:34,2025-12-25 00:26:34,14012,12.4,Clear sky,2.03,349,3.69
10228,Mānbāzār,India,,23.0615,86.6642,Asia/Kolkata,5,5,2025-12-24 19:26:35,2025-12-25 00:26:35,9521,12.2,Clear sky,1.89,320,3.00
10229,Mushābani,India,,22.52,86.45,Asia/Kolkata,5,5,2025-12-24 19:26:35,2025-12-25 00:26:35,31035,13.5,Mainly clear,1.61,340,2.50
10230,Kuchaiburi,India,,22.27,86.17,Asia/Kolkata,5,5,2025-12-24 19:26:35,2025-12-25 00:26:35,34929,12.9,Mainly clear,1.44,34,3.50
10231,Gua,India,,22.2136,85.3877,Asia/Kolkata,5,5,2025-12-24 19:26:36,2025-12-25 00:26:36,14323,14.0,Partly cloudy,0.39,320,0.69
10232,Bada Barabīl,India,,22.12,85.4,Asia/Kolkata,5,5,2025-12-24 19:26:36,2025-12-25 00:26:36,300000,14.0,Partly cloudy,0.39,320,0.69
10233,Jagannāthpur,India,,22.2211,85.6392,Asia/Kolkata,5,5,2025-12-24 19:26:36,2025-12-25 00:26:36,8599,14.0,Partly cloudy,0.39,320,0.69
10234,Noāmundi,India,,22.1609,85.5042,Asia/Kolkata,5,5,2025-12-24 19:26:36,2025-12-25 00:26:36,21423,14.0,Partly cloudy,0.39,320,0.69
10235,Champua,India,,22.0667,85.6658,Asia/Kolkata,5,5,2025-12-24 19:26:37,2025-12-25 00:26:37,10967,14.0,Partly cloudy,0.39,320,0.69
10236,Manoharpur,India,,22.3746,85.1923,Asia/Kolkata,5,5,2025-12-24 19:26:37,2025-12-25 00:26:37,14265,13.2,Clear sky,3.44,8,6.69
10237,Birmitrapur,India,,22.4,84.7667,Asia/Kolkata,5,5,2025-12-24 19:26:37,2025-12-25 00:26:37,38870,13.2,Clear sky,3.44,8,6.69
10238,Raurkela,India,,22.2492,84.8828,Asia/Kolkata,5,5,2025-12-24 19:26:37,2025-12-25 00:26:37,600000,13.7,Partly cloudy,1.61,20,3.50
10239,Simdega,India,,22.62,84.52,Asia/Kolkata,5,5,2025-12-24 19:26:38,2025-12-25 00:26:38,80129,13.4,Overcast,2.78,13,4.89
10240,Taisar,India,,22.4867,84.1804,Asia/Kolkata,5,5,2025-12-24 19:26:38,2025-12-25 00:26:38,9394,10.8,Partly cloudy,1.50,356,2.50
10241,Sundargarh,India,,22.12,84.03,Asia/Kolkata,5,5,2025-12-24 19:26:38,2025-12-25 00:26:38,45036,14.0,Clear sky,2.19,24,3.50
10242,Brājarājnagar,India,,21.8167,83.9167,Asia/Kolkata,5,5,2025-12-24 19:26:39,2025-12-25 00:26:39,101585,14.0,Clear sky,2.19,24,3.50
10243,Jhārsugra,India,,21.85,84.03,Asia/Kolkata,5,5,2025-12-24 19:26:39,2025-12-25 00:26:39,124500,14.0,Clear sky,2.19,24,3.50
10244,Raigarh,India,,21.8974,83.395,Asia/Kolkata,5,5,2025-12-24 19:26:39,2025-12-25 00:26:39,135363,13.8,Mainly clear,2.00,22,3.31
10245,Saktī,India,,22.03,82.97,Asia/Kolkata,5,5,2025-12-24 19:26:39,2025-12-25 00:26:39,30100,13.4,Partly cloudy,2.00,22,3.19
10246,Korba,India,,22.3458,82.6963,Asia/Kolkata,5,5,2025-12-24 19:26:40,2025-12-25 00:26:40,365253,12.8,Clear sky,2.94,337,5.11
10247,Kolga,India,,22.35,82.68,Asia/Kolkata,5,5,2025-12-24 19:26:40,2025-12-25 00:26:40,365253,12.8,Clear sky,2.94,337,5.11
10248,Bilāspur,India,,22.09,82.15,Asia/Kolkata,5,5,2025-12-24 19:26:40,2025-12-25 00:26:40,1625502,14.8,Partly cloudy,2.47,14,4.00
10249,Ratanpur,India,,22.288,82.166,Asia/Kolkata,5,5,2025-12-24 19:26:40,2025-12-25 00:26:40,19838,11.6,Overcast,1.89,360,3.81
10250,Jānjgīr,India,,22.017,82.567,Asia/Kolkata,5,5,2025-12-24 19:26:41,2025-12-25 00:26:41,40561,16.1,Clear sky,3.17,16,5.11
10251,Kharod,India,,21.75,82.57,Asia/Kolkata,5,5,2025-12-24 19:26:41,2025-12-25 00:26:41,8606,16.1,Clear sky,3.17,16,5.11
10252,Mahāsamund,India,,21.11,82.1,Asia/Kolkata,5,5,2025-12-24 19:26:41,2025-12-25 00:26:41,112228,12.7,Clear sky,0.61,132,1.69
10253,Rājim,India,,20.965,81.8817,Asia/Kolkata,5,5,2025-12-24 19:26:42,2025-12-25 00:26:42,14090,12.7,Clear sky,0.61,132,1.69
10254,Nava Raipur,India,,21.161,81.787,Asia/Kolkata,5,5,2025-12-24 19:26:42,2025-12-25 00:26:42,560000,12.7,Clear sky,0.61,132,1.69
10255,Dhamtari,India,,20.71,81.55,Asia/Kolkata,5,5,2025-12-24 19:26:42,2025-12-25 00:26:42,101677,13.9,Clear sky,0.75,148,1.89
10256,Dalli Rājhara,India,,20.58,81.08,Asia/Kolkata,5,5,2025-12-24 19:26:42,2025-12-25 00:26:42,44363,13.8,Clear sky,1.42,84,2.39
10257,Drug,India,,21.19,81.28,Asia/Kolkata,5,5,2025-12-24 19:26:43,2025-12-25 00:26:43,268806,13.4,Clear sky,1.08,127,2.11
10258,Raipur,India,,21.2444,81.6306,Asia/Kolkata,5,5,2025-12-24 19:26:43,2025-12-25 00:26:43,1010087,13.4,Clear sky,1.08,127,2.11
10259,Bhilai,India,,21.21,81.38,Asia/Kolkata,5,5,2025-12-24 19:26:43,2025-12-25 00:26:43,624700,13.4,Clear sky,1.08,127,2.11
10260,Bhilai Karanja,India,,21.2198,81.4575,Asia/Kolkata,5,5,2025-12-24 19:26:43,2025-12-25 00:26:43,107170,13.4,Clear sky,1.08,127,2.11
10261,Mohda,India,,21.2751,81.6676,Asia/Kolkata,5,5,2025-12-24 19:26:44,2025-12-25 00:26:44,13697,13.6,Clear sky,1.67,27,2.31
10262,Mungeli,India,,22.07,81.68,Asia/Kolkata,5,5,2025-12-24 19:26:44,2025-12-25 00:26:44,108387,12.5,Clear sky,1.42,350,2.00
10263,Anūppur,India,,23.1034,81.6908,Asia/Kolkata,5,5,2025-12-24 19:26:45,2025-12-25 00:26:45,21651,13.4,Partly cloudy,1.19,343,2.61
10264,Kotma,India,,23.2038,81.979,Asia/Kolkata,5,5,2025-12-24 19:26:45,2025-12-25 00:26:45,36263,11.9,Partly cloudy,1.17,313,1.81
10265,Chanwari,India,,23.1917,82.3542,Asia/Kolkata,5,5,2025-12-24 19:26:45,2025-12-25 00:26:45,85317,10.8,Partly cloudy,0.36,34,1.50
10266,Pilkha,India,,23.1645,83.1821,Asia/Kolkata,5,5,2025-12-24 19:26:46,2025-12-25 00:26:46,16106,10.4,Partly cloudy,1.42,48,2.19
10267,Ambikāpur,India,,23.12,83.2,Asia/Kolkata,5,5,2025-12-24 19:26:46,2025-12-25 00:26:46,121071,10.4,Partly cloudy,1.42,48,2.19
10268,Daltonganj,India,,24.03,84.07,Asia/Kolkata,5,5,2025-12-24 19:26:47,2025-12-25 00:26:47,158941,12.1,Partly cloudy,0.28,239,0.81
10269,Barwādih,India,,23.8478,84.1105,Asia/Kolkata,5,5,2025-12-24 19:26:47,2025-12-25 00:26:47,9527,12.1,Partly cloudy,0.28,239,0.81
10270,Shāhpur,India,,24.0312,84.0543,Asia/Kolkata,5,5,2025-12-24 19:26:47,2025-12-25 00:26:47,11429,12.1,Partly cloudy,0.28,239,0.81
10271,Baduriātola,India,,24.0928,84.0895,Asia/Kolkata,5,5,2025-12-24 19:26:47,2025-12-25 00:26:47,12990,12.1,Partly cloudy,0.28,239,0.81
10272,Chiankī,India,,24.0051,84.1098,Asia/Kolkata,5,5,2025-12-24 19:26:47,2025-12-25 00:26:47,9312,12.1,Partly cloudy,0.28,239,0.81
10273,Lātehār,India,,23.7442,84.4998,Asia/Kolkata,5,5,2025-12-24 19:26:48,2025-12-25 00:26:48,25188,10.6,Partly cloudy,0.97,285,3.00
10274,Lohārdagā,India,,23.4331,84.6799,Asia/Kolkata,5,5,2025-12-24 19:26:48,2025-12-25 00:26:48,57411,10.6,Partly cloudy,0.97,285,3.00
10275,Sisai,India,,23.1794,84.7582,Asia/Kolkata,5,5,2025-12-24 19:26:48,2025-12-25 00:26:48,10437,11.9,Overcast,2.42,346,3.81
10276,Bargaon,India,,23.1795,84.6991,Asia/Kolkata,5,5,2025-12-24 19:26:48,2025-12-25 00:26:48,8587,11.2,Partly cloudy,1.81,298,2.89
10277,Bharno,India,,23.2204,84.8891,Asia/Kolkata,5,5,2025-12-24 19:26:48,2025-12-25 00:26:48,8735,11.9,Overcast,2.42,346,3.81
10278,Gumlā,India,,23.0444,84.5417,Asia/Kolkata,5,5,2025-12-24 19:26:49,2025-12-25 00:26:49,80129,11.2,Partly cloudy,1.81,298,2.89
10279,Pālkot,India,,22.8748,84.6433,Asia/Kolkata,5,5,2025-12-24 19:26:49,2025-12-25 00:26:49,9804,11.2,Partly cloudy,1.81,298,2.89
10280,Udburu,India,,23.0333,85.3667,Asia/Kolkata,5,5,2025-12-24 19:26:49,2025-12-25 00:26:49,9539,12.1,Mainly clear,1.50,278,4.00
10281,Rānchi,India,,23.36,85.33,Asia/Kolkata,5,5,2025-12-24 19:26:50,2025-12-25 00:26:50,1073440,11.1,Partly cloudy,2.08,294,4.81
10282,Sukurhutu,India,,23.4433,85.2917,Asia/Kolkata,5,5,2025-12-24 19:26:50,2025-12-25 00:26:50,11650,11.1,Partly cloudy,2.08,294,4.81
10283,Sodāg,India,,23.1436,85.3874,Asia/Kolkata,5,5,2025-12-24 19:26:50,2025-12-25 00:26:50,15400,12.1,Mainly clear,1.50,278,4.00
10284,Siladon,India,,23.1527,85.3657,Asia/Kolkata,5,5,2025-12-24 19:26:50,2025-12-25 00:26:50,15400,12.1,Mainly clear,1.50,278,4.00
10285,Kānke,India,,23.4348,85.3206,Asia/Kolkata,5,5,2025-12-24 19:26:50,2025-12-25 00:26:50,21650,11.1,Partly cloudy,2.08,294,4.81
10286,Rātu,India,,23.4204,85.2146,Asia/Kolkata,5,5,2025-12-24 19:26:50,2025-12-25 00:26:50,21196,11.2,Overcast,2.22,298,3.39
10287,Lāl Khatangā,India,,23.2627,85.3376,Asia/Kolkata,5,5,2025-12-24 19:26:50,2025-12-25 00:26:50,15400,11.1,Partly cloudy,2.08,294,4.81
10288,Khunti,India,,23.081,85.2774,Asia/Kolkata,5,5,2025-12-24 19:26:50,2025-12-25 00:26:50,29271,12.1,Mainly clear,1.50,278,4.00
10289,Itki Thākurgaon,India,,23.3456,85.1114,Asia/Kolkata,5,5,2025-12-24 19:26:51,2025-12-25 00:26:51,15108,11.2,Overcast,2.22,298,3.39
10290,Tundhul,India,,23.3247,85.2447,Asia/Kolkata,5,5,2025-12-24 19:26:51,2025-12-25 00:26:51,11985,11.2,Overcast,2.22,298,3.39
10291,Khijri,India,,22.8001,84.9474,Asia/Kolkata,5,5,2025-12-24 19:26:51,2025-12-25 00:26:51,15400,11.9,Overcast,2.42,346,3.81
10292,Torpa,India,,22.9361,85.0889,Asia/Kolkata,5,5,2025-12-24 19:26:51,2025-12-25 00:26:51,10538,11.9,Overcast,2.42,346,3.81
10293,Saraikela,India,,22.6996,85.9313,Asia/Kolkata,5,5,2025-12-24 19:26:52,2025-12-25 00:26:52,16196,12.9,Mainly clear,1.44,34,3.50
10294,Kāndra,India,,22.8517,86.0519,Asia/Kolkata,5,5,2025-12-24 19:26:52,2025-12-25 00:26:52,8990,13.1,Clear sky,1.78,286,2.89
10295,Sini,India,,22.7933,85.9454,Asia/Kolkata,5,5,2025-12-24 19:26:52,2025-12-25 00:26:52,8700,13.1,Clear sky,1.78,286,2.89
10296,Chakradharpur,India,,22.7,85.63,Asia/Kolkata,5,5,2025-12-24 19:26:52,2025-12-25 00:26:52,197953,12.2,Clear sky,0.56,333,1.39
10297,Kharsāwān,India,,22.7909,85.831,Asia/Kolkata,5,5,2025-12-24 19:26:53,2025-12-25 00:26:53,8965,13.1,Clear sky,1.78,286,2.89
10298,Jamshedpur,India,,22.7925,86.1842,Asia/Kolkata,5,5,2025-12-24 19:26:53,2025-12-25 00:26:53,1558000,13.1,Clear sky,1.78,286,2.89
10299,Balarāmpur,India,,23.12,86.22,Asia/Kolkata,5,5,2025-12-24 19:26:53,2025-12-25 00:26:53,24431,13.1,Clear sky,1.78,286,2.89
10300,Tūlin,India,,23.37,85.9,Asia/Kolkata,5,5,2025-12-24 19:26:53,2025-12-25 00:26:53,9844,11.4,Partly cloudy,1.92,300,3.19
10301,Jhalidā,India,,23.37,85.97,Asia/Kolkata,5,5,2025-12-24 19:26:53,2025-12-25 00:26:53,19544,11.4,Partly cloudy,1.92,300,3.19
